1,1,7,1,M.Phil English,2 Years,x,0,admin,0
2,1,7,1,Ph.D English,5 Years,x,0,admin,0
3,1,9,1,Ph.D Mass Communication,5 Years,x,0,admin,0
4,1,9,1,Ph.D General Arts,5 Years,x,0,admin,0
5,1,9,1,Ph.D Economics,5 Years,x,0,admin,0
6,1,6,2,MA (Economics),2 Years,x,0,admin,0
7,1,6,2,MA (Education),2 Years,x,0,admin,0
8,1,7,2,MA(Eng),2 Years,x,0,admin,0
9,1,9,2,MA (Journalism & Mass Communication),2 Years,x,0,admin,0
10,1,14,2,MA (Psychology),2 Years,x,0,admin,0
11,1,8,3,B.Design (Fashion),4 Years,x,20000,admin,0
12,1,9,3,BA,3 Years,x,10500,admin,0
13,1,9,3,BA (Journalism and Mass Communication),3 Years,x,23625,admin,0
14,2,1,4,Integrated Program-BBA & MBA (Pharmaceutical Chemistry),5 Years,x,0,admin,0
15,2,1,4,Integrated Program-BBA & MBA,5 Years,x,0,admin,0
16,2,1,1,M.Phil Management,2 Years,x,0,admin,0
17,2,1,1,Ph.D Management,5 Years,x,0,admin,0
18,2,3,1,M.Phil Commerce,2 Years,x,0,admin,0
19,2,3,1,Ph.D Commerce,5 Years,x,0,admin,0
20,2,1,2,MBA (Travel & Tourism),2 Years,x,0,admin,0
21,2,1,2,MBA,2 Years,x,0,admin,0
22,2,1,2,MHA,2 Years,x,0,admin,0
23,2,1,2,MBA (Avaition),3 Years,x,0,admin,0
24,2,3,2,M.com,2 Years,x,0,admin,0
25,2,1,3,BBA,3 Years,x,0,admin,0
26,2,1,3,BBA(Travel & Tourism),3 Years,x,0,admin,0
27,2,1,3,BHA,3 Years,x,0,admin,0
28,2,1,3,BBA (Avaition),3 Years,x,0,admin,0
29,2,3,3,B.Com,3 Years,x,0,admin,0
30,3,4,1,M.Phil Computer Application,2 Years,x,0,admin,0
31,3,4,1,Ph.D Computer Application,5 Years,x,0,admin,0
32,3,4,2,MCA,3 Years,x,0,admin,0
33,3,4,3,BCA,3 Years,x,0,admin,0
34,3,4,3,Bsc (IT),3 Years,x,0,admin,0
35,4,10,1,M.Phil Zoology,2 Years,x,0,admin,0
36,4,10,1,M.Phil Botany,2 Years,x,0,admin,0
37,4,10,1,Ph.D Zoology,5 Years,x,0,admin,0
